CustomerID,CompanyName,OrderCount
SAVEA,Save-a-lot Markets,31
ERNSH,Ernst Handel,30
QUICK,QUICK-Stop,28
FOLKO,Folk och fä HB,19
HUNGO,Hungry Owl All-Night Grocers,19
BERGS,Berglunds snabbköp,18
HILAA,HILARION-Abastos,18
RATTC,Rattlesnake Canyon Grocery,18
BONAP,Bon app',17
FRANK,Frankenversand,15
LEHMS,Lehmanns Marktstand,15
WARTH,Wartian Herkku,15
BOTTM,Bottom-Dollar Markets,14
HANAR,Hanari Carnes,14
KOENE,Königlich Essen,14
LILAS,LILA-Supermercado,14
LAMAI,La maison d'Asie,14
WHITC,White Clover Markets,14
AROUT,Around the Horn,13
MEREP,Mère Paillarde,13
QUEEN,Queen Cozinha,13
LINOD,LINO-Delicateses,12
REGGC,Reggiani Caseifici,12
SUPRD,Suprêmes délices,12
BLONP,Blondesddsl père et fils,11
GREAL,Great Lakes Food Market,11
RICAR,Ricardo Adocicados,11
VAFFE,Vaffeljernet,11
BSBEV,B's Beverages,10
WANDK,Die Wandernde Kuh,10
GODOS,Godos Cocina Típica,10
ISLAT,Island Trading,10
MAGAA,Magazzini Alimentari Riuniti,10
OLDWO,Old World Delicatessen,10
OTTIK,Ottilies Käseladen,10
PICCO,Piccolo und mehr,10
RICSU,Richter Supermarkt,10
TORTU,Tortuga Restaurante,10
VICTE,Victuailles en stock,10
GOURL,Gourmet Lanchonetes,9
QUEDE,Que Delícia,9
SEVES,Seven Seas Imports,9
SPLIR,Split Rail Beer & Ale,9
WELLI,Wellington Importadora,9
CHOPS,Chop-suey Chinese,8
EASTC,Eastern Connection,8
FURIB,Furia Bacalhau e Frutos do Mar,8
LONEP,Lonesome Pine Restaurant,8
ANTON,Antonio Moreno Taquería,7
BLAUS,Blauer See Delikatessen,7
FAMIA,Familia Arquibaldo,7
MAISD,Maison Dewey,7
SIMOB,Simons bistro,7
WILMK,Wilman Kala,7
WOLZA,Wolski  Zajazd,7
ALFKI,Alfreds Futterkiste,6
CACTU,Cactus Comidas para llevar,6
DRACD,Drachenblut Delikatessen,6
FRANS,Franchi S.p.A.,6
PERIC,Pericles Comidas clásicas,6
SANTG,Santé Gourmet,6
TOMSP,Toms Spezialitäten,6
TRADH,Tradição Hipermercados,6
COMMI,Comércio Mineiro,5
FOLIG,Folies gourmandes,5
GALED,Galería del gastrónomo,5
HUNGC,Hungry Coyote Import Store,5
MORGK,Morgenstern Gesundkost,5
OCEAN,Océano Atlántico Ltda.,5
PRINI,Princesa Isabel Vinhos,5
RANCH,Rancho grande,5
ROMEY,Romero y tomillo,5
VINET,Vins et alcools Chevalier,5
ANATR,Ana Trujillo Emparedados y helados,4
DUMON,Du monde entier,4
LACOR,La corne d'abondance,4
LETSS,Let's Stop N Shop,4
SPECD,Spécialités du monde,4
THEBI,The Big Cheese,4
BOLID,Bólido Comidas preparadas,3
CONSH,Consolidated Holdings,3
FRANR,France restauration,3
LAUGB,Laughing Bacchus Wine Cellars,3
NORTS,North/South,3
THECR,The Cracker Box,3
TRAIH,Trail's Head Gourmet Provisioners,3
GROSR,GROSELLA-Restaurante,2
LAZYK,Lazy K Kountry Store,2
CENTC,Centro comercial Moctezuma,1
FISSA,FISSA Fabrica Inter. Salchichas S.A.,0
PARIS,Paris spécialités,0
